wavelength,Intensity
2564.523,0.076
2561.989,0.077
2559.46,0.078
2556.936,0.08
2554.417,0.081
2551.903,0.082
2549.393,0.083
2546.889,0.084
2544.389,0.084
2541.895,0.084
2539.406,0.085
2536.921,0.085
2534.441,0.085
2531.966,0.084
2529.496,0.084
2527.03,0.084
2524.57,0.084
2522.114,0.084
2519.663,0.084
2517.217,0.084
2514.775,0.084
2512.338,0.084
2509.906,0.083
2507.479,0.083
2505.056,0.083
2502.638,0.083
2500.225,0.083
2497.816,0.083
2495.412,0.082
2493.013,0.082
2490.618,0.082
2488.228,0.082
2485.842,0.082
2483.461,0.083
2481.084,0.083
2478.712,0.084
2476.345,0.084
2473.982,0.084
2471.623,0.084
2469.269,0.084
2466.92,0.084
2464.575,0.084
2462.235,0.083
2459.899,0.082
2457.567,0.081
2455.24,0.08
2452.917,0.079
2450.598,0.077
2448.284,0.076
2445.975,0.075
2443.669,0.073
2441.369,0.072
2439.072,0.071
2436.78,0.069
2434.491,0.068
2432.208,0.067
2429.928,0.067
2427.653,0.066
2425.382,0.065
2423.115,0.065
2420.853,0.064
2418.594,0.064
2416.34,0.063
2414.09,0.063
2411.845,0.062
2409.603,0.062
2407.366,0.061
2405.133,0.061
2402.904,0.06
2400.679,0.06
2398.458,0.06
2396.242,0.06
2394.029,0.06
2391.82,0.06
2389.616,0.06
2387.415,0.06
2385.219,0.06
2383.027,0.06
2380.838,0.06
2378.654,0.06
2376.474,0.06
2374.298,0.061
2372.126,0.061
2369.957,0.061
2367.793,0.062
2365.633,0.062
2363.476,0.062
2361.324,0.063
2359.175,0.063
2357.03,0.064
2354.889,0.064
2352.752,0.065
2350.619,0.066
2348.49,0.066
2346.365,0.066
2344.243,0.066
2342.126,0.066
2340.012,0.065
2337.902,0.064
2335.796,0.064
2333.693,0.063
2331.595,0.063
2329.5,0.062
2327.409,0.062
2325.321,0.062
2323.238,0.062
2321.158,0.062
2319.081,0.063
2317.009,0.063
2314.94,0.064
2312.875,0.065
2310.814,0.066
2308.756,0.066
2306.702,0.067
2304.652,0.067
2302.605,0.067
2300.562,0.068
2298.522,0.068
2296.487,0.069
2294.454,0.069
2292.425,0.069
2290.4,0.068
2288.379,0.067
2286.361,0.066
2284.346,0.065
2282.335,0.063
2280.329,0.062
2278.325,0.061
2276.324,0.06
2274.328,0.06
2272.334,0.059
2270.344,0.058
2268.358,0.057
2266.375,0.056
2264.396,0.055
2262.42,0.054
2260.447,0.053
2258.478,0.052
2256.513,0.051
2254.55,0.049
2252.592,0.048
2250.636,0.047
2248.685,0.045
2246.736,0.044
2244.791,0.043
2242.849,0.042
2240.91,0.042
2238.975,0.041
2237.043,0.041
2235.115,0.041
2233.19,0.041
2231.268,0.04
2229.349,0.041
2227.434,0.041
2225.522,0.041
2223.613,0.041
2221.708,0.042
2219.806,0.042
2217.907,0.043
2216.011,0.043
2214.119,0.044
2212.23,0.044
2210.344,0.045
2208.461,0.045
2206.582,0.046
2204.705,0.046
2202.832,0.047
2200.962,0.047
2199.096,0.048
2197.231,0.049
2195.371,0.049
2193.514,0.05
2191.66,0.05
2189.809,0.051
2187.961,0.052
2186.116,0.052
2184.274,0.053
2182.435,0.053
2180.6,0.054
2178.767,0.054
2176.939,0.054
2175.112,0.054
2173.289,0.055
2171.469,0.055
2169.652,0.055
